idx;time_ms;time_s;vm_value
118;657473.0;657.473;0.21281158254744556
144;658799.0;658.799;0.18706930314336087
262;664817.0;664.817;0.2071364131485247
337;668642.0;668.642;0.18123855283763474
422;672977.0;672.977;0.17661653856041917
508;677363.0;677.363;0.17569417966153741
593;681698.0;681.698;0.24190035125931753
676;685931.0;685.931;0.22048246212627298
760;690215.0;690.215;0.27817530055499623
846;694601.0;694.601;0.24375196919632647
954;700109.0;700.109;0.23938558176540245
2938;801293.0;801.293;0.36193401223082794
